"Blocking Key Value","Frequency"
"HP 1N,HP 3Y","100"
"HP 2U","81"
"ACER ,HP 3R","64"
"DELL ,HP 2X","49"
"MSI G,HP 25,HP 1G","36"
"HP 2S, DELL,SAMSU","25"
"HP 1J,HP CH,HP 4R,MSI P,HP 4J","16"
"HP 13,HP 11,HP ST,LG 14,HP 4N,10.1I,HP V2,HP 5J,HP EN,MACBO","9"
"12IN ,850 G,SMART,HP 12,HP 1L,14IN ,HP 2T,HP 2W,HP 2G,TS TP,HP 3P,11.6I,HP 4P, NEW ,HP 4H,HP W2,EB745,MSI 1,HP X2,HP OM","4"
" ACER,HP Y9,HP 85,PROBO,EB840,LG EL,C202S,HP Z2,HP 10,MSI P, MSI ,HP 1M,ZBOOK,GS73 ,14.0/,HP T6,PROMO,MOBIL, 2018,12.5I, LENO,HP 2L,GT83 ,TOPSE,OMEN ,HP 4T,MSI C,CB11G,12.3I,HP 4L,HP 4S,MSI I,GL73 ,ASUSP, HEWL, ALIE,650G4,HP NA,HP 5H,EB105,TPSLL,MSI -,EB104,TPSLR,HP X9,840 G,LG GR","1"
"HP BU","1024"
"MSI G","900"
"HP ZB","784"
"HP CO","729"
"HP - ","529"
"MICRO","441"
"HP V1","324"
"HP 14","289"
"ASUS ","256"
"HP PA","196"
"LENOV","126025"
"ASUS ","44521"
"DELL ","36864"
"HP IN","9604"
"ACER ","8281"
"HEWLE","5776"
"HP EL","5041"
"HP 15","3025"
"APPLE","2209"
"HP PR","1444"
"15.6I,HP 17","144"
"ALIEN,HP 1B","121"
